,id,popularity,title,vote_average,vote_count
124,185,32.017,A Clockwork Orange,8.2,11581
125,490,18.173,The Seventh Seal,8.2,2587
126,16869,53.005,Inglourious Basterds,8.2,20158
127,791373,107.491,Zack Snyder's Justice League,8.2,8827
128,610892,27.287,Violet Evergarden: Eternity and the Auto Memory Doll,8.2,295
129,592350,43.992,My Hero Academia: Heroes Rising,8.2,1039
130,857,52.451,Saving Private Ryan,8.2,14171
131,11,96.101,Star Wars,8.2,18589
132,755812,64.268,"Miraculous World: New York, United HeroeZ",8.2,980
133,10098,12.655,The Kid,8.2,1799
134,98,46.463,Gladiator,8.2,16420
135,1398,20.371,Stalker,8.2,1775
136,518068,41.03,Along with the Gods: The Last 49 Days,8.2,480
137,1124,47.784,The Prestige,8.2,14141
138,603,70.444,The Matrix,8.2,23154
139,422,14.233,8½,8.2,1982
140,50014,51.159,The Help,8.2,7199
141,762975,38.071,Purple Hearts,8.2,1947
142,11324,47.299,Shutter Island,8.2,21653
143,810693,85.169,Jujutsu Kaisen 0,8.2,911
144,313106,9.122,Doctor Who: The Day of the Doctor,8.2,681
145,629,27.226,The Usual Suspects,8.2,9323
146,324786,118.144,Hacksaw Ridge,8.2,12225
147,426,25.524,Vertigo,8.2,5053
148,476292,29.029,Maquia: When the Promised Flower Blooms,8.2,520
149,77,26.453,Memento,8.2,13264
150,664767,28.781,Mortal Kombat Legends: Scorpion's Revenge,8.2,1205
151,297610,4.744,Abraham Lincoln Vampire Hunter: The Great Calamity,8.2,207
152,26451,10.599,Investigation of a Citizen Above Suspicion,8.2,662
153,531428,24.241,Portrait of a Lady on Fire,8.2,2066
154,2457,9.533,Children of Paradise,8.2,336
155,133919,6.254,Scenes from a Marriage,8.2,287
156,654299,9.228,Out of the Clear Blue Sky,8.2,314
157,470044,17.932,The Hate U Give,8.2,1927
158,517814,25.397,Capernaum,8.2,1452
159,20532,10.032,Sansho the Bailiff,8.2,309
160,289,24.525,Casablanca,8.2,4710
161,398818,41.146,Call Me by Your Name,8.2,11113
162,475557,60.531,Joker,8.2,22683
163,399106,12.788,Piper,8.2,1471
164,92060,9.34,Michael Jackson's Thriller,8.2,573
165,872,20.347,Singin' in the Rain,8.2,2737
166,103,39.202,Taxi Driver,8.2,10609
167,1422,35.348,The Departed,8.2,13380
168,111,61.808,Scarface,8.2,10311
169,68718,47.02,Django Unchained,8.2,24022
170,606856,35.701,Togo,8.2,1739
171,823754,12.829,Bo Burnham: Inside,8.2,354
172,406997,38.415,Wonder,8.2,7277
173,532067,33.169,KONOSUBA – God's blessing on this wonderful world! Legend of Crimson,8.2,460
174,620683,6.526,My Mom is a Character 3,8.2,446
175,508442,69.757,Soul,8.2,9089
176,19,23.323,Metropolis,8.2,2314
177,600354,27.173,The Father,8.2,2585
178,20914,8.164,My Friends,8.1,619
179,705,13.146,All About Eve,8.1,1327
180,614,12.765,Wild Strawberries,8.1,1411
181,666,8.701,Central Station,8.1,745
182,489,72.66,Good Will Hunting,8.1,10695
183,996,13.221,Double Indemnity,8.1,1534
184,439,12.46,La Dolce Vita,8.1,1630
185,11878,24.114,Yojimbo,8.1,1202
186,55823,7.166,The Great War,8.1,310
187,600,30.528,Full Metal Jacket,8.1,9369
188,500,30.683,Reservoir Dogs,8.1,12911
189,348,66.241,Alien,8.1,12760
190,935,19.736,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,8.1,4938
191,550776,23.088,Believe Me: The Abduction of Lisa McVey,8.1,480
192,548,17.791,Rashomon,8.1,1850
193,100,10.525,"Lock, Stock and Two Smoking Barrels",8.1,5905
194,640344,5.352,Me Against You: Mr. S's Vendetta,8.1,458
195,831827,17.323,Far from the Tree,8.1,321
196,37165,43.431,The Truman Show,8.1,16189
197,20941,16.504,Innocent Voices,8.1,391
198,472454,10.518,Ayla: The Daughter of War,8.1,313
